Incidenct Code;Customer Company Group;Customer Company;Create Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Urgency;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000000973035;IBERIA;IBERIA;10.01.18 10:10;;In Progress;[3DS][UDTV69] ES-AMEX-Marcada en CYB como 3DSAvailable-YES;AM_MTO_IBCOM;Application Tower;Ib.com;Media;3-Medio;[2018/01/30] LEDA.agarciab: Adjuntamos información solicitada 1/30/2018 5:36:25 PM, NIIT.averma, I have checked the two PNR examples and checked logs to find the what is actually the issue here. Also I have some queries as well regarding the configurations that what should be actual behavior in ideal case. PNR: QHV39Z In this case the 3DS available was sent as YES, which we have seen in our logs as well. PNR: POZ6HJ In this case the user has tried four times and each time the card was rejected. First three time user has used the VISA CREDIT,BANK OF AMERICA - CONSUMER CREDIT and each time the 3DS available was sent as YES and fourth time user has used AMERICAN EXPRESS CREDIT,AMERICAN EXPRESS US CONSUMER and this time it was sent as NO. Since both these cases are the wrong ones, we have asked digital business on the below queries as it will help to find out the cause faster: - What are the ideal working scenarios ? - What was reflected in CYB in the first three transactions of PNR POZ6HJ ? - What should be the actual configurations ? In parallel we are also investigating. Attached is the email sent to digital support team. 1/22/18 5:17:06 PM, NIIT.RGAUTAM, We have investigated and didn’t found any relevant data regarding the PNR UDTV69 provided as example in the incident. We cannot see the FP and other details. Since this PNR is showing cancelled BY START OVER in the Amadeus logs . Please provide more examples so we can understand the flow better and proceed to our investigation. Mail Attached.;MANTENIMIENTO IB.COM;INCIDENT;30.01.18;SOFTWARE FAILURE;APPLICATION ERROR;22;MANDOS;
INC000000973036;IBERIA;IBERIA;10.01.18 10:14;10.01.18 11:18;Resolved;PTR001 - Puntos - Álvaro Doménech;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Baja;4-Baja;ACCIONES: se inicializan los puntos al tripulante. PRUEBAS: no aplica. IMPACTO: sin impacto.;Mantenimiento Operaciones;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR (VUELO);FLOTA A320 (AVVIC0A0)
INC000000973038;IBERIA;IBERIA;10.01.18 10:17;11.01.18 09:57;Resolved;[SEG010] Usuario fallo sincronía;Remedy /BMC Support;Application Tower;HerramientasIT;Baja;4-Baja;Information provided;Mantenimiento Herramientas IT & DBAs;INCIDENT;11.01.18;ACCESS FAILURE;PASSWORD;1;SIN IDENTIFICAR;
INC000000973039;IBERIA;IBERIA;10.01.18 10:15;10.01.18 10:51;Resolved;AIRNAV sin acceso;USV_NON_SAP_APPS;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;3-Medio;Got the confirmation to close the incident from user.;Mantenimiento Dir. Técnica;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;EDIFICIO T.M.A. - ALMACENES;INGENIERIA SISTEMAS (AMIRT0RA)
INC000000973041;IBERIA;IBERIA;10.01.18 10:28;10.01.18 10:28;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;DESCONOCIDO;COORD PROYECTOS Y APLICAC (AVF0AA)
INC000000973042;IBERIA;IBERIA;10.01.18 10:29;10.01.18 10:36;Resolved;Solicita reset de usuario de RESIBER/AMADEUS;CSUSAS;Delivery;Delivery;Baja;4-Baja;Reseteamos contraseña e informamos a usuario.;Unidad de Operaciones Ordenadores;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973043;IBERIA;IBERIA;10.01.18 10:24;10.01.18 10:24;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;ALC AEROPUERTO;PRODUCCION PASAJEROS (AHAAS00S)
INC000000973044;IBERIA;IBERIA;10.01.18 11:16;10.01.18 16:18;Resolved;Problemas para conectarse a la red de BA;IAG EUC Remote Support;EUC;EUC;Media;3-Medio;Issue resolved after machine restart;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;ACCESS FAILURE;;0;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);PRESIDENCIA NZI (100000NZ)
INC000000973045;IBERIA;IBERIA;10.01.18 10:29;10.01.18 10:29;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;HANGAR 6;TMA MECANICA. PROD CAD1 H (AMIRD0FA)
INC000000973046;IBERIA;IBERIA;10.01.18 10:39;10.01.18 14:12;Resolved;Fallo Software: Acrobat con error al ingresar;IAG EUC Support;EUC;EUC;Baja;4-Baja;Se reinstala la última versión de Acrobat Reader DC.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;AGP AEROPUERTO;COORDINACION CONTROL AGP (AHARS0C0)
INC000000973047;IBERIA;IBERIA;10.01.18 10:52;10.01.18 10:52;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;DESCONOCIDO;COORD PROYECTOS Y APLICAC (AVF0AA)
INC000000973048;IBERIA EXPRESS;IBERIA EXPRESS;10.01.18 10:36;12.01.18 15:02;Resolved;P09: Problemas Billetes free;JAVA Apps Support;Application Tower;RRHH;Baja;4-Baja;;Mantenimiento Corporativa y RRHH;INCIDENT;12.01.18;SOFTWARE FAILURE;;2;SIN IDENTIFICAR;
INC000000973049;IBERIA;IBERIA;10.01.18 10:41;10.01.18 10:41;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973050;IBERIA;IBERIA;10.01.18 10:35;10.01.18 10:46;Resolved;LINUX_sun - apliwebl2.ib : Pool JDBC Aeropuertos2^Aeropuertos2^IBCONECTPRO+bdl+ibutf8 no Activo. Avi;TSSUNUNISYS-BBDD;Server Tower;Server Tower;Media;3-Medio;Se restablece el servicio;Unidad de Operaciones Ordenadores;INCIDENT;10.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000973051;IBERIA;IBERIA;10.01.18 09:59;17.01.18 08:39;Resolved;Incidencia usuario Control-M desarrollo;Soporte Linux - Sistema Operativo;Server Tower;Server Tower;Baja;4-Baja;La creación de usuarios se hace por REQ de ACCESO A MÁQUINAS;Unidad de Operaciones Ordenadores;INCIDENT;17.01.18;SOFTWARE FAILURE;;7;SIN IDENTIFICAR;
INC000000973052;IBERIA;IBERIA;10.01.18 10:18;10.01.18 10:18;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973053;IBERIA;IBERIA;10.01.18 10:13;10.01.18 12:44;Resolved;Sin internet en NEO 2 Norte;Conectividad de red;Network Tower;Network Tower;Alta;2-Alta;[BT] Reinicio de los routers.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;COMMUNICATIONS FAILURE;;0;SIN IDENTIFICAR;
INC000000973054;IBERIA;IBERIA;10.01.18 11:15;11.01.18 14:17;Resolved;Fallo Software: Lanzar convocatoria a través SKYPE EMPRESARIAL;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;We connected to the user machine in remote and installed the Skype 2016, the issue has been resolved. Hence we are closing this ticket with user confirmation.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;11.01.18;SOFTWARE FAILURE;;1;TALLER MOTORES;MNG INVENTARIO (AMITJ3)
INC000000973056;IBERIA;IBERIA;10.01.18 10:11;10.01.18 12:59;Resolved;Access to Scira;Admon. Seguridad Informática;Seguridad;Seguridad;Baja;4-Baja;Se asignan los códigos acuario GPR014 y GPR015.;Unidad Seguridad Informática;INCIDENT;10.01.18;ACCESS FAILURE;;0;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000973057;IBERIA;IBERIA;10.01.18 10:10;26.01.18 13:13;Resolved;Mensajes ITAREQ cascading BA y AA generan timeout;SYS;Application Tower;PSS;Baja;4-Baja;Se analiza el problema y se estudia un posible desarrollo;Mantenimiento Pasaje;INCIDENT;26.01.18;DEFAULT;;16;SIN IDENTIFICAR;
INC000000973060;IBERIA EXPRESS;IBERIA EXPRESS;10.01.18 11:26;12.01.18 11:53;Resolved;billetes refund --- URGENTE;USCIBMAM;Application Tower;Cobol Domain;Media;3-Medio;Issue: Consulta sobre facturación de ciertos billetes Impact: Medio Root Causes: Finalmente el problema parece estar en otro sistema, el F49 de I2 no ha enviado reembolsos de esos billetes mencionados (Detalle en cadena de correos de detalles de trabajo). Stepts taken: No es necesaria ninguna acción.;Mantenimiento COBOL;INCIDENT;12.01.18;SOFTWARE FAILURE;;2;MADRID / ALCAÑIZ;
INC000000973063;IBERIA;IBERIA;10.01.18 10:32;10.01.18 10:32;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;HANGAR 6;TMA MECANICA. PROD CAD1 H (AMIRD0FA)
INC000000973064;IBERIA;IBERIA;10.01.18 10:55;10.01.18 10:55;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000000973065;IBERIA;IBERIA;10.01.18 10:33;10.01.18 10:33;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;TALLER MOTORES;SOLDADURA (AMITP0CM)
INC000000973067;IBERIA;IBERIA;10.01.18 10:51;10.01.18 10:51;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;EDIF.110 - ALMACENES GENERALES;RESP. FACT. INTERL Y AG D (3KEMV0)
INC000000973068;IBERIA;IBERIA;10.01.18 10:43;16.01.18 12:14;Resolved;Incidencia sistema UPLAS Portal Prevención Laboral;JAVA Apps Support;Application Tower;RRHH;Baja;4-Baja;Temporary issue;Mantenimiento Corporativa y RRHH;INCIDENT;16.01.18;DATA ISSUE;;6;PMI AEROPUERTO;PERSONAL PMI (AHAKP0EP)
INC000000973069;IBERIA;IBERIA;10.01.18 11:32;;Assigned;Pasajeros y ofera a cero categorizados como regulares;USCIBMAM;Application Tower;Cobol Domain;Baja;4-Baja;;Mantenimiento COBOL;INCIDENT;26.01.18;SOFTWARE FAILURE;;22;NEO-MARTINEZ VILLERGAS 49;BP FINANZAS COMERCIAL Y R (1FIC00)
INC000000973070;IBERIA;IBERIA;10.01.18 11:12;17.01.18 07:19;Resolved;Usuario remedy: cap.acarrero no puede acceder;Remedy /BMC Support;Application Tower;HerramientasIT;Baja;4-Baja;Information provided;Mantenimiento Herramientas IT & DBAs;INCIDENT;17.01.18;ACCESS FAILURE;;7;SIN IDENTIFICAR;
INC000000973071;IBERIA;IBERIA;10.01.18 10:55;10.01.18 10:55;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;HANGAR 6;TMA MECANICA. PROD CAD1 H (AMIRD0FA)
INC000000973072;IBERIA EXPRESS;IBERIA EXPRESS;10.01.18 11:04;10.01.18 11:04;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;MADRID / ALCAÑIZ;
INC000000973073;IBERIA;IBERIA;10.01.18 10:55;10.01.18 10:55;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;HANGAR 6;TMA MECANICA. PROD CAD1 H (AMIRD0FA)
INC000000973074;IBERIA;IBERIA;10.01.18 11:24;10.01.18 11:24;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;TERMINAL T4;U.A.C._INC.PASAJ._AG.ADM. (AHMDS07A)
INC000000973075;IBERIA;IBERIA;10.01.18 11:00;22.01.18 11:27;Resolved;[IMM001] SAP ZIR108 variante SEGUIMIENTO HM;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Baja;4-Baja;User saved the entries ones again and it is working fine;Mantenimiento Dir. Técnica;INCIDENT;22.01.18;SOFTWARE FAILURE;;12;EDIFICIO T.M.A. - ALMACENES;PLANIFICACIÓN MANT MAYOR (AMIRC0A0)
INC000000973076;IBERIA;IBERIA;10.01.18 11:10;10.01.18 11:34;Resolved;No puede iniciar sesión en el ordenador;IAG EUC Support;EUC;EUC;Media;3-Medio;Se ha insertado el equipo en dominio. Se ha comprobado el acceso a la cuenta del usuario. Operación realizada con éxito.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;DESCONOCIDO;COORD PROYECTOS Y APLICAC (AVF0AA)
INC000000973079;IBERIA;IBERIA;10.01.18 11:12;10.01.18 11:12;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000973082;IBERIA;IBERIA;10.01.18 13:29;10.01.18 16:10;Resolved;"la usuaria no puede acceder al correo ""comprobando la integridad de los datos""";IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;Cleared the saved passwords and the Temp files;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR (MADRID BARAJAS);MNG PRODUCCIÓN HUB MAD(C (AGDH13)
INC000000973083;IBERIA;IBERIA;10.01.18 11:18;10.01.18 11:18;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973085;IBERIA;IBERIA;10.01.18 11:22;10.01.18 11:22;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente mediante correo electrónico.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;BCN CIUDAD;GERENCIA EMPRESAS BCN (ACVP00BE)
INC000000973086;IBERIA;IBERIA;10.01.18 11:28;15.01.18 14:27;Resolved;Fallo Software: El servidor no responde;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;User will be available from Thursday, hence closing this case by sending mail to the user. From: TCS.Janthikolalu, Pooja Sent: lunes, 15 de enero de 2018 12:42 To: Mora Nogueira, Juan Diego Cc: IAGOffshore-O365Desktop Subject: RE: INC000000973086- Fallo Software: El servidor no responde Buen Día Juan Diego, Por políticas de la compañía no podemos dejar los partes abiertos por tanto tiempo, por ello vamos a proceder a cerrar el parte. El jueves cuando regreses a Londres y estés en la oficina respóndenos a este correo para proceder a re-abrir el parte y contactarte lo más pronto posible. Quedamos atentos a tu pronta respuesta. Cordialmente, Pooja J R TCS-IAG EUC Services;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;15.01.18;SOFTWARE FAILURE;;5;NEO-MARTINEZ VILLERGAS 49;SENIOR MANAGER ANCILLARIE (AC00AN)
INC000000973087;IBERIA;IBERIA;10.01.18 11:27;10.01.18 11:27;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le reinicia al usuario la contraseña siguiendo el proceso de seguridad, mediante retrollamada.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;;
INC000000973088;IBERIA;IBERIA;10.01.18 11:22;;Pending;Incremento en timeouts;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;4-Baja;;Unidad Control del Servicio;INCIDENT;10.01.18;DATA ISSUE;;22;SIN IDENTIFICAR;
INC000000973089;IBERIA EXPRESS;IBERIA EXPRESS;10.01.18 12:10;10.01.18 12:10;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;MADRID / ALCAÑIZ;
INC000000973091;IBERIA;IBERIA;10.01.18 11:35;;Assigned;LF superior al 100%;USCIBMAM;Application Tower;Cobol Domain;Baja;4-Baja;;Mantenimiento COBOL;INCIDENT;26.01.18;SOFTWARE FAILURE;;22;NEO-MARTINEZ VILLERGAS 49;BP FINANZAS COMERCIAL Y R (1FIC00)
INC000000973092;IBERIA;IBERIA;10.01.18 11:31;10.01.18 12:06;Resolved;RESERVA NQM9ZD;TKT;Application Tower;PSS;Baja;4-Baja;Ya los tenéis OPEN.;Mantenimiento Pasaje;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;
INC000000973093;IBERIA;IBERIA;10.01.18 11:48;10.01.18 17:20;Resolved;MTO BCN || AIRNAV FUNCIONA LENTO O NO FUNCIONA;USV_NON_SAP_APPS;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;3-Medio;Server Issue Varios procesos de Java ejecutándose y bloqueandose entre ellos.;Mantenimiento Dir. Técnica;INCIDENT;10.01.18;ACCESS FAILURE;;0;BCN AEROPUERTO;TMA MECANICA (AMNLB0AC)
INC000000973094;IBERIA;IBERIA;10.01.18 11:39;;Assigned;Pasajeros y ofera a cero categorizados como regulares;USCIBMAM;Application Tower;Cobol Domain;Baja;4-Baja;;Mantenimiento COBOL;INCIDENT;26.01.18;SOFTWARE FAILURE;;22;NEO-MARTINEZ VILLERGAS 49;BP FINANZAS COMERCIAL Y R (1FIC00)
INC000000973095;IBERIA;IBERIA;10.01.18 11:44;10.01.18 11:44;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973096;IBERIA;IBERIA;10.01.18 11:38;10.01.18 11:38;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000973097;IBERIA;IBERIA;10.01.18 11:55;10.01.18 12:26;Resolved;Solicita desbloqueo de usuario SAP.;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Reseteamos clave y comunicamos a usuario;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;TALLER MOTORES;MNG SOPORTE COMERCIAL (AMRF00)
INC000000973098;IBERIA;IBERIA;10.01.18 11:47;10.01.18 12:53;Resolved;No puede llamar ni recibir llamadas;Mobiles;Network Tower;Network Tower;Baja;4-Baja;SE vuelve a habilitar la línea y se documenta en Peoplesoft;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;TELEPHONY FAILURE;DEVICE;0;SIN IDENTIFICAR (VUELO);FLOTA A340 (AVVIL0A0)
INC000000973099;IAG CARGO;IBERIA;10.01.18 12:01;11.01.18 07:14;Resolved;[CIBER] codigos de manejo especial RBI Y RBM no están funcionando;CARGO-CIBER;Application Tower;CARGO;Media;3-Medio;Study case. Fix indicators in table;Mantenimiento Cargo;INCIDENT;11.01.18;DATA ISSUE;DATA CORRUPTION;1;SIN IDENTIFICAR;
INC000000973101;IBERIA;IBERIA;10.01.18 12:09;11.01.18 17:51;Resolved;apertura de incidencia por alarma lan SW_CE_ENAJENACIONES;Network_Campus_MAD;Network Tower;Network Tower;Media;3-Medio;[BT] Se levanta el diferencial de luz ya que estaba bajado recuperando conectividad;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;11.01.18;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000000973102;IBERIA;IBERIA;10.01.18 12:05;10.01.18 12:57;Resolved;línea móvil bloqueado;Mobiles;Network Tower;Network Tower;Baja;4-Baja;Se vuelve a habilitar la línea y se documenta en Peoplesoft;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;TELEPHONY FAILURE;;0;NEO-MARTINEZ VILLERGAS 49;GERENCIA CALIDAD (AI0000)
INC000000973103;IBERIA;IBERIA;10.01.18 14:50;10.01.18 14:50;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;El problema se ha solucionado durante la llamada;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000973104;IBERIA;IBERIA;10.01.18 11:59;10.01.18 11:59;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;TERMINAL T4;ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000000973105;IBERIA;IBERIA;10.01.18 12:24;10.01.18 12:42;Resolved;Solicita desbloqueo de usuario SAP.;SSCCLMZ;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Reseteo SAP;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;TALLER MOTORES;MNG SOPORTE COMERCIAL (AMRF00)
INC000000973108;IBERIA;IBERIA;10.01.18 12:03;25.01.18 11:16;Resolved;RITM1367512 - AR - GATE GOURMET ARGENTINA;USCABAM;Application Tower;Cobol Domain;Baja;4-Baja;Se cierra el paso de forma manual.;Mantenimiento Financiero;INCIDENT;25.01.18;DATA ISSUE;;15;SIN IDENTIFICAR;
INC000000973109;IBERIA;IBERIA;10.01.18 12:48;10.01.18 12:48;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;EDIF.105 - I.E.R.A.;MNG HIDRÁULICO Y NEUMÁTIC (AMICTC)
INC000000973110;IBERIA;IBERIA;10.01.18 14:24;10.01.18 14:24;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (MADRID BARAJAS);T.C.MAD- DOCUM. (AGDM00MA)
INC000000973112;IBERIA;IBERIA;10.01.18 12:17;10.01.18 13:44;Resolved;Fallo dispositivo radio;Soporte Radio/Analógico;Network Tower;Network Tower;Baja;4-Baja;Cambiar filtro supesor de ruido;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;10.01.18;HARDWARE FAILURE;;0;TERMINAL T4;DESP.AVIONES_JEF.SERV. (AHMDC01J)
INC000000973113;IBERIA;IBERIA;10.01.18 14:20;10.01.18 14:20;Resolved;Solicita desbloqueo usuario LDAP.;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se comprueba acceso tras desbloqueo.;Unidad Control del Servicio;INCIDENT;10.01.18;ACCESS FAILURE;PASSWORD UNLOCK;0;TFS AEROPUERTO;COORDINACION Y CONTROL TF (AHALUSCI)
INC000000973114;IBERIA;IBERIA;10.01.18 12:18;10.01.18 12:55;Resolved;Error transferencia fichero bid_price_20180109.csv;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Anlisis: se estudia el alcance Acciones:comprobaciones datastage y linux. Envió ftp Pruebas:ok;Mantenimiento BI;INCIDENT;10.01.18;SOFTWARE FAILURE;;0;SIN IDENTIFICAR;MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000000973116;IBERIA;IBERIA;10.01.18 12:19;23.01.18 18:29;Resolved;Discrepancy in PYG - 27th &28th;USCVEAM;Application Tower;Financiero;Baja;4-Baja;USCVEAM: Good afternoon, We close this ticket due to this ticket is duplicated with INC000000972514. We will solve this issue on it. If you need anything else, don’t hesitate in contact us. Thank you. Kind regards. Financial System Support.;Mantenimiento Financiero;INCIDENT;23.01.18;DATA ISSUE;;13;SIN IDENTIFICAR;
INC000000973117;IBERIA;IBERIA;10.01.18 12:36;10.01.18 13:37;Resolved;No puede acceder a Amos;Flight OPS IB;Application Tower;FLIGHT OPERATIONS;Baja;4-Baja;Análisis de impacto: No aplica. Acciones realizadas: Se llama al usuario y configuramos correctamente con el el aplicativo. Se le resetea la contraseña y nos confirma que puede acceder Pruebas realizadas: Se comprueba que se acceder con la contraseña generada a AMOS producción;Mantenimiento Operaciones;INCIDENT;10.01.18;ACCESS FAILURE;;0;EDIFICIO T.M.A. - ALMACENES;MNG INGENIERÍA ESTRUCTURA (AMIRT0SB)
INC000000973119;IBERIA;IBERIA;10.01.18 13:00;10.01.18 13:00;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
INC000000973121;IBERIA;IBERIA;10.01.18 12:42;10.01.18 12:42;Resolved;Información petición;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.;Unidad Control del Servicio;INCIDENT;10.01.18;PERFORMANCE ISSUE;;0;SIN IDENTIFICAR;
